Sort method;Array type;Amount;Time;Operations
bubbleSort;almostSorted;600;776143;1080599
bubbleSortIverson1;almostSorted;600;2596;3605
bubbleSortIverson2;almostSorted;600;5390;7202
countingSort;almostSorted;600;18056;4807
heapSort;almostSorted;600;139863;82708
insertionSort;almostSorted;600;4333;5394
mergeSort;almostSorted;600;265590;63884
quickSort;almostSorted;600;19086;12214
selectionSort;almostSorted;600;723013;543296
shellSortCiuraSequence;almostSorted;600;22010;18392
shellSortShellSequence;almostSorted;600;33053;24059
binaryInsertionSort;backwardSorted;600;104623;4196
bubbleSort;backwardSorted;600;833756;1080599
bubbleSortIverson1;backwardSorted;600;2570;3605
bubbleSortIverson2;backwardSorted;600;5373;7202
countingSort;backwardSorted;600;40830;15307
heapSort;backwardSorted;600;140076;82708
insertionSort;backwardSorted;600;4110;5394
mergeSort;backwardSorted;600;267626;63884
quickSort;backwardSorted;600;18796;12214
selectionSort;backwardSorted;600;731203;543296
shellSortCiuraSequence;backwardSorted;600;22243;18392
shellSortShellSequence;backwardSorted;600;33320;24059
binaryInsertionSort;fill0To5;700;329366;199740
bubbleSort;fill0To5;700;1072293;1470699
bubbleSortIverson1;fill0To5;700;3003;4205
bubbleSortIverson2;fill0To5;700;6270;8402
countingSort;fill0To5;700;16683;3519
heapSort;fill0To5;700;127143;73927
insertionSort;fill0To5;700;5076;6294
mergeSort;fill0To5;700;310693;76172
quickSort;fill0To5;700;46016;18980
selectionSort;fill0To5;700;980590;738846
shellSortCiuraSequence;fill0To5;700;26490;21992
shellSortShellSequence;fill0To5;700;38776;28069
binaryInsertionSort;fill0To4000;700;114443;5136
bubbleSort;fill0To4000;700;1074376;1470699
bubbleSortIverson1;fill0To4000;700;3166;4205
bubbleSortIverson2;fill0To4000;700;6230;8402
countingSort;fill0To4000;700;49846;15495
heapSort;fill0To4000;700;168333;98761
insertionSort;fill0To4000;700;5226;6294
mergeSort;fill0To4000;700;375656;76172
quickSort;fill0To4000;700;24103;15294
selectionSort;fill0To4000;700;981330;738846
shellSortCiuraSequence;fill0To4000;700;26190;21992
shellSortShellSequence;fill0To4000;700;38503;28069
binaryInsertionSort;almostSorted;700;109153;4896
bubbleSort;almostSorted;700;1080783;1470699
bubbleSortIverson1;almostSorted;700;3250;4205
bubbleSortIverson2;almostSorted;700;5973;8402
countingSort;almostSorted;700;20926;5607
heapSort;almostSorted;700;166680;99136
insertionSort;almostSorted;700;4780;6294
mergeSort;almostSorted;700;308780;76172
quickSort;almostSorted;700;22950;15014
selectionSort;almostSorted;700;980346;738846
shellSortCiuraSequence;almostSorted;700;26170;21992
shellSortShellSequence;almostSorted;700;38486;28069
binaryInsertionSort;backwardSorted;700;129386;4896
bubbleSort;backwardSorted;700;1060906;1470699
bubbleSortIverson1;backwardSorted;700;3003;4205
bubbleSortIverson2;backwardSorted;700;6493;8402
countingSort;backwardSorted;700;42870;15807
heapSort;backwardSorted;700;168043;99136
insertionSort;backwardSorted;700;4783;6294
mergeSort;backwardSorted;700;309743;76172
quickSort;backwardSorted;700;22950;15014
selectionSort;backwardSorted;700;983200;738846
shellSortCiuraSequence;backwardSorted;700;26353;21992
shellSortShellSequence;backwardSorted;700;38493;28069
binaryInsertionSort;fill0To5;800;407886;260468
bubbleSort;fill0To5;800;1376180;1920799
bubbleSortIverson1;fill0To5;800;3676;4805
bubbleSortIverson2;fill0To5;800;7050;9602
countingSort;fill0To5;800;19316;4019
heapSort;fill0To5;800;149660;86854
insertionSort;fill0To5;800;5690;7194
mergeSort;fill0To5;800;359576;88416
quickSort;fill0To5;800;49856;21285
selectionSort;fill0To5;800;1281353;964396
