Sort method;Array type;Amount;Time;Operations
shellSortCiuraSequence;fill0To5;2300;103636;86842
shellSortShellSequence;fill0To5;2300;157570;115082
binaryInsertionSort;fill0To4000;2300;557753;18628
bubbleSort;fill0To4000;2300;11328700;15872299
bubbleSortIverson1;fill0To4000;2300;10006;13805
bubbleSortIverson2;fill0To4000;2300;19893;27602
countingSort;fill0To4000;2300;109170;23492
heapSort;fill0To4000;2300;693190;381998
insertionSort;fill0To4000;2300;15823;20694
mergeSort;fill0To4000;2300;1067596;286912
quickSort;fill0To4000;2300;97003;58939
selectionSort;fill0To4000;2300;10555720;7947646
shellSortCiuraSequence;fill0To4000;2300;103623;86842
shellSortShellSequence;fill0To4000;2300;157316;115082
binaryInsertionSort;almostSorted;2300;499720;16096
bubbleSort;almostSorted;2300;11350083;15872299
bubbleSortIverson1;almostSorted;2300;10006;13805
bubbleSortIverson2;almostSorted;2300;19913;27602
countingSort;almostSorted;2300;68120;18407
heapSort;almostSorted;2300;634466;382734
insertionSort;almostSorted;2300;15980;20694
mergeSort;almostSorted;2300;1081436;286912
quickSort;almostSorted;2300;83766;55194
selectionSort;almostSorted;2300;10564900;7947646
shellSortCiuraSequence;almostSorted;2300;104233;86842
shellSortShellSequence;almostSorted;2300;158213;115082
binaryInsertionSort;backwardSorted;2300;727923;16096
bubbleSort;backwardSorted;2300;11392033;15872299
bubbleSortIverson1;backwardSorted;2300;9996;13805
bubbleSortIverson2;backwardSorted;2300;19846;27602
countingSort;backwardSorted;2300;81063;23807
heapSort;backwardSorted;2300;638713;382734
insertionSort;backwardSorted;2300;15986;20694
mergeSort;backwardSorted;2300;1066633;286912
quickSort;backwardSorted;2300;83423;55194
selectionSort;backwardSorted;2300;10540100;7947646
shellSortCiuraSequence;backwardSorted;2300;103676;86842
shellSortShellSequence;backwardSorted;2300;158346;115082
binaryInsertionSort;fill0To5;2400;2971093;2322760
bubbleSort;fill0To5;2400;12397313;17282399
bubbleSortIverson1;fill0To5;2400;10590;14405
bubbleSortIverson2;fill0To5;2400;20796;28802
countingSort;fill0To5;2400;57470;12019
heapSort;fill0To5;2400;520296;298151
insertionSort;fill0To5;2400;16906;21594
mergeSort;fill0To5;2400;1127146;301184
quickSort;fill0To5;2400;172943;70956
selectionSort;fill0To5;2400;11568776;8653196
shellSortCiuraSequence;fill0To5;2400;109500;91042
shellSortShellSequence;fill0To5;2400;165060;120067
binaryInsertionSort;fill0To4000;2400;592263;19536
bubbleSort;fill0To4000;2400;12337490;17282399
bubbleSortIverson1;fill0To4000;2400;10473;14405
bubbleSortIverson2;fill0To4000;2400;20766;28802
countingSort;fill0To4000;2400;112463;24004
heapSort;fill0To4000;2400;674703;401138
insertionSort;fill0To4000;2400;16720;21594
mergeSort;fill0To4000;2400;1137766;301184
quickSort;fill0To4000;2400;102333;61762
selectionSort;fill0To4000;2400;11495590;8653196
shellSortCiuraSequence;fill0To4000;2400;146083;91042
shellSortShellSequence;fill0To4000;2400;172040;120067
binaryInsertionSort;almostSorted;2400;525146;16796
bubbleSort;almostSorted;2400;12355346;17282399
bubbleSortIverson1;almostSorted;2400;10433;14405
bubbleSortIverson2;almostSorted;2400;20680;28802
countingSort;almostSorted;2400;70846;19207
heapSort;almostSorted;2400;668706;402072
insertionSort;almostSorted;2400;16566;21594
mergeSort;almostSorted;2400;1121903;301184
quickSort;almostSorted;2400;89333;58394
selectionSort;almostSorted;2400;11710540;8653196
shellSortCiuraSequence;almostSorted;2400;109106;91042
shellSortShellSequence;almostSorted;2400;165873;120067
binaryInsertionSort;backwardSorted;2400;776960;16796
bubbleSort;backwardSorted;2400;12404643;17282399
bubbleSortIverson1;backwardSorted;2400;10620;14405
bubbleSortIverson2;backwardSorted;2400;20810;28802
countingSort;backwardSorted;2400;81916;24307
heapSort;backwardSorted;2400;682203;402072
insertionSort;backwardSorted;2400;16703;21594
mergeSort;backwardSorted;2400;1126606;301184
quickSort;backwardSorted;2400;88283;58394
selectionSort;backwardSorted;2400;11533273;8653196
shellSortCiuraSequence;backwardSorted;2400;110946;91042
shellSortShellSequence;backwardSorted;2400;165513;120067
binaryInsertionSort;fill0To5;2500;3187116;2513856
bubbleSort;fill0To5;2500;13483313;18752499
bubbleSortIverson1;fill0To5;2500;11056;15005
bubbleSortIverson2;fill0To5;2500;22383;30002
countingSort;fill0To5;2500;59910;12519
heapSort;fill0To5;2500;527133;311893
insertionSort;fill0To5;2500;17430;22494
mergeSort;fill0To5;2500;1171706;315372
quickSort;fill0To5;2500;176196;73405
selectionSort;fill0To5;2500;12501803;9388746
shellSortCiuraSequence;fill0To5;2500;114616;95242
shellSortShellSequence;fill0To5;2500;171796;125072
binaryInsertionSort;fill0To4000;2500;636140;20636
bubbleSort;fill0To4000;2500;13451360;18752499
bubbleSortIverson1;fill0To4000;2500;10880;15005
bubbleSortIverson2;fill0To4000;2500;21816;30002
countingSort;fill0To4000;2500;119290;24501
heapSort;fill0To4000;2500;718050;420154
insertionSort;fill0To4000;2500;17340;22494
mergeSort;fill0To4000;2500;1183466;315372
quickSort;fill0To4000;2500;108533;65033
selectionSort;fill0To4000;2500;12526870;9388746
shellSortCiuraSequence;fill0To4000;2500;114146;95242
shellSortShellSequence;fill0To4000;2500;171963;125072
binaryInsertionSort;almostSorted;2500;558636;17496
bubbleSort;almostSorted;2500;13759136;18752499
bubbleSortIverson1;almostSorted;2500;10876;15005
bubbleSortIverson2;almostSorted;2500;21520;30002
countingSort;almostSorted;2500;74203;20007
heapSort;almostSorted;2500;715836;421445
insertionSort;almostSorted;2500;17310;22494
mergeSort;almostSorted;2500;1169706;315372
quickSort;almostSorted;2500;91410;61594
selectionSort;almostSorted;2500;12514670;9388746
shellSortCiuraSequence;almostSorted;2500;114816;95242
shellSortShellSequence;almostSorted;2500;172420;125072
binaryInsertionSort;backwardSorted;2500;834980;17496
bubbleSort;backwardSorted;2500;13477646;18752499
bubbleSortIverson1;backwardSorted;2500;11143;15005
bubbleSortIverson2;backwardSorted;2500;21536;30002
countingSort;backwardSorted;2500;84406;24807
heapSort;backwardSorted;2500;701123;421445
insertionSort;backwardSorted;2500;17390;22494
mergeSort;backwardSorted;2500;1172706;315372
quickSort;backwardSorted;2500;91520;61594
selectionSort;backwardSorted;2500;12490400;9388746
shellSortCiuraSequence;backwardSorted;2500;114380;95242
shellSortShellSequence;backwardSorted;2500;172810;125072
binaryInsertionSort;fill0To5;2600;3413360;2718216
bubbleSort;fill0To5;2600;14566236;20282599
bubbleSortIverson1;fill0To5;2600;11426;15605
bubbleSortIverson2;fill0To5;2600;22670;31202
countingSort;fill0To5;2600;61693;13019
heapSort;fill0To5;2600;552530;328310
insertionSort;fill0To5;2600;18010;23394
mergeSort;fill0To5;2600;1220923;329564
quickSort;fill0To5;2600;195953;82856
selectionSort;fill0To5;2600;13539856;10154296
shellSortCiuraSequence;fill0To5;2600;118893;99442
shellSortShellSequence;fill0To5;2600;178663;130067
binaryInsertionSort;fill0To4000;2600;662200;21712
bubbleSort;fill0To4000;2600;14562943;20282599
bubbleSortIverson1;fill0To4000;2600;11266;15605
bubbleSortIverson2;fill0To4000;2600;22463;31202
countingSort;fill0To4000;2600;120513;25004
heapSort;fill0To4000;2600;737860;439729
insertionSort;fill0To4000;2600;18013;23394
mergeSort;fill0To4000;2600;1213623;329564
quickSort;fill0To4000;2600;114273;68125
selectionSort;fill0To4000;2600;13576536;10154296
shellSortCiuraSequence;fill0To4000;2600;119573;99442
shellSortShellSequence;fill0To4000;2600;179853;130067
binaryInsertionSort;almostSorted;2600;581876;18196
bubbleSort;almostSorted;2600;14545923;20282599
bubbleSortIverson1;almostSorted;2600;11273;15605
bubbleSortIverson2;almostSorted;2600;22386;31202
countingSort;almostSorted;2600;76946;20807
heapSort;almostSorted;2600;728126;440947
insertionSort;almostSorted;2600;17996;23394
mergeSort;almostSorted;2600;1219480;329564
quickSort;almostSorted;2600;97340;64794
selectionSort;almostSorted;2600;13538283;10154296
shellSortCiuraSequence;almostSorted;2600;138586;99442
shellSortShellSequence;almostSorted;2600;178716;130067
binaryInsertionSort;backwardSorted;2600;878363;18196
bubbleSort;backwardSorted;2600;14481930;20282599
bubbleSortIverson1;backwardSorted;2600;11286;15605
bubbleSortIverson2;backwardSorted;2600;22586;31202
countingSort;backwardSorted;2600;87090;25307
heapSort;backwardSorted;2600;732560;440947
insertionSort;backwardSorted;2600;18540;23394
mergeSort;backwardSorted;2600;1219003;329564
quickSort;backwardSorted;2600;97200;64794
selectionSort;backwardSorted;2600;13530196;10154296
shellSortCiuraSequence;backwardSorted;2600;123806;99442
shellSortShellSequence;backwardSorted;2600;179883;130067
binaryInsertionSort;fill0To5;2700;3706180;2930388
bubbleSort;fill0To5;2700;15658140;21872699
bubbleSortIverson1;fill0To5;2700;11730;16205
bubbleSortIverson2;fill0To5;2700;23520;32402
countingSort;fill0To5;2700;63816;13519
heapSort;fill0To5;2700;570540;339978
insertionSort;fill0To5;2700;18726;24294
mergeSort;fill0To5;2700;1424923;343784
quickSort;fill0To5;2700;207530;87650
selectionSort;fill0To5;2700;14590620;10949846
shellSortCiuraSequence;fill0To5;2700;124840;103642
shellSortShellSequence;fill0To5;2700;184656;135072
binaryInsertionSort;fill0To4000;2700;694903;22472
bubbleSort;fill0To4000;2700;15604636;21872699
bubbleSortIverson1;fill0To4000;2700;11713;16205
bubbleSortIverson2;fill0To4000;2700;23383;32402
countingSort;fill0To4000;2700;123336;25501
heapSort;fill0To4000;2700;767776;459247
insertionSort;fill0To4000;2700;18650;24294
mergeSort;fill0To4000;2700;1263706;343784
quickSort;fill0To4000;2700;119696;71041
selectionSort;fill0To4000;2700;14535840;10949846
shellSortCiuraSequence;fill0To4000;2700;123520;103642
shellSortShellSequence;fill0To4000;2700;185116;135072
binaryInsertionSort;almostSorted;2700;615650;18896
bubbleSort;almostSorted;2700;15688620;21872699
bubbleSortIverson1;almostSorted;2700;11916;16205
bubbleSortIverson2;almostSorted;2700;23683;32402
countingSort;almostSorted;2700;80163;21607
heapSort;almostSorted;2700;758176;460057
insertionSort;almostSorted;2700;18903;24294
mergeSort;almostSorted;2700;1276653;343784
quickSort;almostSorted;2700;102620;67994
selectionSort;almostSorted;2700;14572096;10949846
shellSortCiuraSequence;almostSorted;2700;124406;103642
shellSortShellSequence;almostSorted;2700;184936;135072
binaryInsertionSort;backwardSorted;2700;946256;18896
bubbleSort;backwardSorted;2700;16128626;21872699
bubbleSortIverson1;backwardSorted;2700;12500;16205
bubbleSortIverson2;backwardSorted;2700;23630;32402
countingSort;backwardSorted;2700;89303;25807
heapSort;backwardSorted;2700;760460;460057
insertionSort;backwardSorted;2700;19230;24294
mergeSort;backwardSorted;2700;1279053;343784
quickSort;backwardSorted;2700;102680;67994
selectionSort;backwardSorted;2700;14533073;10949846
shellSortCiuraSequence;backwardSorted;2700;124050;103642
shellSortShellSequence;backwardSorted;2700;188270;135072
binaryInsertionSort;fill0To5;2800;3942730;3157576
bubbleSort;fill0To5;2800;16790846;23522799
bubbleSortIverson1;fill0To5;2800;12290;16805
bubbleSortIverson2;fill0To5;2800;24766;33602
countingSort;fill0To5;2800;66516;14019
heapSort;fill0To5;2800;590033;350632
insertionSort;fill0To5;2800;19400;25194
mergeSort;fill0To5;2800;1314773;357936
quickSort;fill0To5;2800;212500;90260
selectionSort;fill0To5;2800;15678393;11775396
shellSortCiuraSequence;fill0To5;2800;129373;107842
shellSortShellSequence;fill0To5;2800;191836;140077
binaryInsertionSort;fill0To4000;2800;733683;23460
bubbleSort;fill0To4000;2800;16785800;23522799
bubbleSortIverson1;fill0To4000;2800;12143;16805
bubbleSortIverson2;fill0To4000;2800;24076;33602
countingSort;fill0To4000;2800;127256;26004
heapSort;fill0To4000;2800;801490;477967
insertionSort;fill0To4000;2800;19816;25194
mergeSort;fill0To4000;2800;1335236;357936
quickSort;fill0To4000;2800;124730;74102
selectionSort;fill0To4000;2800;15621623;11775396
shellSortCiuraSequence;fill0To4000;2800;129116;107842
shellSortShellSequence;fill0To4000;2800;191850;140077
binaryInsertionSort;almostSorted;2800;644996;19596
bubbleSort;almostSorted;2800;16805593;23522799
bubbleSortIverson1;almostSorted;2800;12203;16805
bubbleSortIverson2;almostSorted;2800;24193;33602
countingSort;almostSorted;2800;82503;22407
heapSort;almostSorted;2800;807403;479632
insertionSort;almostSorted;2800;19393;25194
mergeSort;almostSorted;2800;1307763;357936
quickSort;almostSorted;2800;105170;71194
selectionSort;almostSorted;2800;15626810;11775396
shellSortCiuraSequence;almostSorted;2800;128760;107842
shellSortShellSequence;almostSorted;2800;193003;140077
binaryInsertionSort;backwardSorted;2800;985166;19596
bubbleSort;backwardSorted;2800;16829593;23522799
bubbleSortIverson1;backwardSorted;2800;12293;16805
bubbleSortIverson2;backwardSorted;2800;24483;33602
countingSort;backwardSorted;2800;98073;26307
heapSort;backwardSorted;2800;795870;479632
insertionSort;backwardSorted;2800;19336;25194
mergeSort;backwardSorted;2800;1317350;357936
quickSort;backwardSorted;2800;112126;71194
selectionSort;backwardSorted;2800;15653506;11775396
shellSortCiuraSequence;backwardSorted;2800;128616;107842
shellSortShellSequence;backwardSorted;2800;191380;140077
binaryInsertionSort;fill0To5;2900;4217293;3382284
bubbleSort;fill0To5;2900;18019626;25232899
bubbleSortIverson1;fill0To5;2900;12920;17405
bubbleSortIverson2;fill0To5;2900;25173;34802
countingSort;fill0To5;2900;68713;14519
heapSort;fill0To5;2900;624406;373043
insertionSort;fill0To5;2900;20016;26094
mergeSort;fill0To5;2900;1366943;372104
quickSort;fill0To5;2900;218736;92586
selectionSort;fill0To5;2900;17032096;12630946
shellSortCiuraSequence;fill0To5;2900;134890;112042
shellSortShellSequence;fill0To5;2900;244380;145077
binaryInsertionSort;fill0To4000;2900;770906;24344
bubbleSort;fill0To4000;2900;18008476;25232899
bubbleSortIverson1;fill0To4000;2900;12686;17405
bubbleSortIverson2;fill0To4000;2900;24870;34802
countingSort;fill0To4000;2900;130540;26504
heapSort;fill0To4000;2900;829930;497765
insertionSort;fill0To4000;2900;20020;26094
mergeSort;fill0To4000;2900;1365690;372104
quickSort;fill0To4000;2900;128473;77107
selectionSort;fill0To4000;2900;16829193;12630946
shellSortCiuraSequence;fill0To4000;2900;133926;112042
shellSortShellSequence;fill0To4000;2900;199243;145077
binaryInsertionSort;almostSorted;2900;681253;20296
bubbleSort;almostSorted;2900;18118426;25232899
bubbleSortIverson1;almostSorted;2900;12536;17405
bubbleSortIverson2;almostSorted;2900;25026;34802
countingSort;almostSorted;2900;85526;23207
heapSort;almostSorted;2900;821453;498799
insertionSort;almostSorted;2900;20016;26094
mergeSort;almostSorted;2900;1369173;372104
quickSort;almostSorted;2900;111303;74394
selectionSort;almostSorted;2900;16745556;12630946
shellSortCiuraSequence;almostSorted;2900;145506;112042
shellSortShellSequence;almostSorted;2900;198420;145077
binaryInsertionSort;backwardSorted;2900;1041580;20296
bubbleSort;backwardSorted;2900;18065630;25232899
bubbleSortIverson1;backwardSorted;2900;12550;17405
bubbleSortIverson2;backwardSorted;2900;25480;34802
countingSort;backwardSorted;2900;96880;26807
heapSort;backwardSorted;2900;868786;498799
insertionSort;backwardSorted;2900;20046;26094
mergeSort;backwardSorted;2900;1410126;372104
quickSort;backwardSorted;2900;110860;74394
selectionSort;backwardSorted;2900;16957533;12630946
shellSortCiuraSequence;backwardSorted;2900;135006;112042
shellSortShellSequence;backwardSorted;2900;198586;145077
binaryInsertionSort;fill0To5;3000;4464836;3620728
bubbleSort;fill0To5;3000;19269716;27002999
bubbleSortIverson1;fill0To5;3000;12966;18005
bubbleSortIverson2;fill0To5;3000;25953;36002
countingSort;fill0To5;3000;70923;15019
heapSort;fill0To5;3000;646483;381907
insertionSort;fill0To5;3000;20673;26994
mergeSort;fill0To5;3000;1415210;386196
quickSort;fill0To5;3000;225136;95078
selectionSort;fill0To5;3000;17954670;13516496
shellSortCiuraSequence;fill0To5;3000;140526;116242
shellSortShellSequence;fill0To5;3000;206546;150082
binaryInsertionSort;fill0To4000;3000;828926;25556
bubbleSort;fill0To4000;3000;19263436;27002999
bubbleSortIverson1;fill0To4000;3000;12976;18005
bubbleSortIverson2;fill0To4000;3000;25946;36002
countingSort;fill0To4000;3000;134976;26998
heapSort;fill0To4000;3000;862253;517020
insertionSort;fill0To4000;3000;20720;26994
mergeSort;fill0To4000;3000;1413550;386196
quickSort;fill0To4000;3000;134203;79886
selectionSort;fill0To4000;3000;17948850;13516496
shellSortCiuraSequence;fill0To4000;3000;143043;116242
shellSortShellSequence;fill0To4000;3000;207850;150082
binaryInsertionSort;almostSorted;3000;715210;20996
bubbleSort;almostSorted;3000;19315733;27002999
bubbleSortIverson1;almostSorted;3000;13510;18005
bubbleSortIverson2;almostSorted;3000;26196;36002
countingSort;almostSorted;3000;89753;24007
heapSort;almostSorted;3000;853573;518574
insertionSort;almostSorted;3000;20716;26994
mergeSort;almostSorted;3000;1413010;386196
quickSort;almostSorted;3000;115836;77594
selectionSort;almostSorted;3000;17944153;13516496
shellSortCiuraSequence;almostSorted;3000;139123;116242
shellSortShellSequence;almostSorted;3000;207446;150082
binaryInsertionSort;backwardSorted;3000;1104970;20996
bubbleSort;backwardSorted;3000;19506726;27002999
bubbleSortIverson1;backwardSorted;3000;12950;18005
bubbleSortIverson2;backwardSorted;3000;26003;36002
countingSort;backwardSorted;3000;95826;27307
heapSort;backwardSorted;3000;854573;518574
insertionSort;backwardSorted;3000;20703;26994
mergeSort;backwardSorted;3000;1414416;386196
quickSort;backwardSorted;3000;116126;77594
selectionSort;backwardSorted;3000;17947970;13516496
shellSortCiuraSequence;backwardSorted;3000;139006;116242
shellSortShellSequence;backwardSorted;3000;206573;150082
binaryInsertionSort;fill0To5;3100;4765126;3871396
bubbleSort;fill0To5;3100;20583403;28833099
bubbleSortIverson1;fill0To5;3100;13376;18605
bubbleSortIverson2;fill0To5;3100;27030;37202
countingSort;fill0To5;3100;73756;15519
heapSort;fill0To5;3100;707683;400166
insertionSort;fill0To5;3100;21406;27894
mergeSort;fill0To5;3100;1478950;400296
quickSort;fill0To5;3100;232063;97646
selectionSort;fill0To5;3100;19185426;14432046
shellSortCiuraSequence;fill0To5;3100;145550;120442
shellSortShellSequence;fill0To5;3100;212926;155072
binaryInsertionSort;fill0To4000;3100;850463;26640
bubbleSort;fill0To4000;3100;20716500;28833099
bubbleSortIverson1;fill0To4000;3100;13513;18605
bubbleSortIverson2;fill0To4000;3100;26570;37202
countingSort;fill0To4000;3100;138283;27501
heapSort;fill0To4000;3100;921503;536187
insertionSort;fill0To4000;3100;21313;27894
mergeSort;fill0To4000;3100;1478053;400296
quickSort;fill0To4000;3100;140396;82939
selectionSort;fill0To4000;3100;19148183;14432046
shellSortCiuraSequence;fill0To4000;3100;143633;120442
shellSortShellSequence;fill0To4000;3100;211966;155072
binaryInsertionSort;almostSorted;3100;743180;21696
bubbleSort;almostSorted;3100;20574213;28833099
bubbleSortIverson1;almostSorted;3100;13783;18605
bubbleSortIverson2;almostSorted;3100;26970;37202
countingSort;almostSorted;3100;91740;24807
heapSort;almostSorted;3100;886396;538042
insertionSort;almostSorted;3100;21470;27894
mergeSort;almostSorted;3100;1475253;400296
quickSort;almostSorted;3100;120326;80504
selectionSort;almostSorted;3100;19234236;14432046
shellSortCiuraSequence;almostSorted;3100;145250;120442
shellSortShellSequence;almostSorted;3100;214190;155072
binaryInsertionSort;backwardSorted;3100;1164300;21696
bubbleSort;backwardSorted;3100;20727753;28833099
bubbleSortIverson1;backwardSorted;3100;13720;18605
bubbleSortIverson2;backwardSorted;3100;26733;37202
countingSort;backwardSorted;3100;98243;27807
heapSort;backwardSorted;3100;891613;538042
insertionSort;backwardSorted;3100;21483;27894
mergeSort;backwardSorted;3100;1474096;400296
quickSort;backwardSorted;3100;119663;80504
selectionSort;backwardSorted;3100;19183513;14432046
shellSortCiuraSequence;backwardSorted;3100;144646;120442
shellSortShellSequence;backwardSorted;3100;214553;155072
binaryInsertionSort;fill0To5;3200;5091326;4114164
bubbleSort;fill0To5;3200;22020266;30723199
bubbleSortIverson1;fill0To5;3200;13953;19205
bubbleSortIverson2;fill0To5;3200;28650;38402
countingSort;fill0To5;3200;76520;16019
heapSort;fill0To5;3200;698173;415351
insertionSort;fill0To5;3200;22693;28794
mergeSort;fill0To5;3200;1522100;414512
quickSort;fill0To5;3200;240853;100743
selectionSort;fill0To5;3200;21320390;15377596
shellSortCiuraSequence;fill0To5;3200;149640;124642
shellSortShellSequence;fill0To5;3200;219656;160062
binaryInsertionSort;fill0To4000;3200;898473;27464
bubbleSort;fill0To4000;3200;22067003;30723199
bubbleSortIverson1;fill0To4000;3200;14423;19205
bubbleSortIverson2;fill0To4000;3200;27766;38402
countingSort;fill0To4000;3200;142393;27998
heapSort;fill0To4000;3200;930783;555805
insertionSort;fill0To4000;3200;22073;28794
mergeSort;fill0To4000;3200;1526563;414512
quickSort;fill0To4000;3200;145846;85910
selectionSort;fill0To4000;3200;20728530;15377596
shellSortCiuraSequence;fill0To4000;3200;148953;124642
shellSortShellSequence;fill0To4000;3200;221793;160062
binaryInsertionSort;almostSorted;3200;795710;22396
bubbleSort;almostSorted;3200;22028913;30723199
bubbleSortIverson1;almostSorted;3200;15170;19205
bubbleSortIverson2;almostSorted;3200;28140;38402
countingSort;almostSorted;3200;94950;25607
heapSort;almostSorted;3200;922743;557407
insertionSort;almostSorted;3200;22320;28794
mergeSort;almostSorted;3200;1532133;414512
quickSort;almostSorted;3200;123883;82704
selectionSort;almostSorted;3200;20502053;15377596
shellSortCiuraSequence;almostSorted;3200;149683;124642
shellSortShellSequence;almostSorted;3200;221336;160062
binaryInsertionSort;backwardSorted;3200;1277930;22396
bubbleSort;backwardSorted;3200;22038640;30723199
bubbleSortIverson1;backwardSorted;3200;13763;19205
bubbleSortIverson2;backwardSorted;3200;27826;38402
countingSort;backwardSorted;3200;100683;28307
heapSort;backwardSorted;3200;919646;557407
insertionSort;backwardSorted;3200;22163;28794
mergeSort;backwardSorted;3200;1516170;414512
quickSort;backwardSorted;3200;123283;82704
selectionSort;backwardSorted;3200;20490966;15377596
shellSortCiuraSequence;backwardSorted;3200;151350;124642
shellSortShellSequence;backwardSorted;3200;221410;160062
binaryInsertionSort;fill0To5;3300;5399936;4377324
bubbleSort;fill0To5;3300;23420163;32673299
bubbleSortIverson1;fill0To5;3300;14323;19805
bubbleSortIverson2;fill0To5;3300;28456;39602
countingSort;fill0To5;3300;78143;16519
heapSort;fill0To5;3300;721543;429667
insertionSort;fill0To5;3300;22873;29694
mergeSort;fill0To5;3300;1568690;428696
quickSort;fill0To5;3300;246640;104032
selectionSort;fill0To5;3300;21802150;16353146
shellSortCiuraSequence;fill0To5;3300;161943;128970
shellSortShellSequence;fill0To5;3300;226723;165077
binaryInsertionSort;fill0To4000;3300;944723;28736
bubbleSort;fill0To4000;3300;23695163;32673299
bubbleSortIverson1;fill0To4000;3300;14366;19805
bubbleSortIverson2;fill0To4000;3300;28976;39602
countingSort;fill0To4000;3300;146556;28504
heapSort;fill0To4000;3300;967466;575132
insertionSort;fill0To4000;3300;23133;29694
mergeSort;fill0To4000;3300;1578800;428696
quickSort;fill0To4000;3300;152833;88983
selectionSort;fill0To4000;3300;21812770;16353146
shellSortCiuraSequence;fill0To4000;3300;155143;128970
shellSortShellSequence;fill0To4000;3300;227900;165077
binaryInsertionSort;almostSorted;3300;820910;23096
bubbleSort;almostSorted;3300;23468526;32673299
bubbleSortIverson1;almostSorted;3300;14316;19805
bubbleSortIverson2;almostSorted;3300;28393;39602
countingSort;almostSorted;3300;97870;26407
heapSort;almostSorted;3300;952263;576535
insertionSort;almostSorted;3300;22980;29694
mergeSort;almostSorted;3300;1573903;428696
quickSort;almostSorted;3300;125600;84904
selectionSort;almostSorted;3300;21789986;16353146
shellSortCiuraSequence;almostSorted;3300;183163;128970
shellSortShellSequence;almostSorted;3300;226476;165077
binaryInsertionSort;backwardSorted;3300;1288720;23096
bubbleSort;backwardSorted;3300;23454543;32673299
bubbleSortIverson1;backwardSorted;3300;14603;19805
bubbleSortIverson2;backwardSorted;3300;28390;39602
countingSort;backwardSorted;3300;103100;28807
heapSort;backwardSorted;3300;951583;576535
insertionSort;backwardSorted;3300;22920;29694
mergeSort;backwardSorted;3300;1568026;428696
quickSort;backwardSorted;3300;124876;84904
selectionSort;backwardSorted;3300;21769593;16353146
shellSortCiuraSequence;backwardSorted;3300;156656;128970
shellSortShellSequence;backwardSorted;3300;227523;165077
binaryInsertionSort;fill0To5;3400;5785196;4652280
bubbleSort;fill0To5;3400;24853410;34683399
bubbleSortIverson1;fill0To5;3400;14660;20405
bubbleSortIverson2;fill0To5;3400;29250;40802
countingSort;fill0To5;3400;80183;17019
heapSort;fill0To5;3400;799090;447392
insertionSort;fill0To5;3400;23386;30594
mergeSort;fill0To5;3400;1615503;442852
quickSort;fill0To5;3400;256403;107370
selectionSort;fill0To5;3400;23130763;17358696
shellSortCiuraSequence;fill0To5;3400;223310;133770
shellSortShellSequence;fill0To5;3400;381510;170072
binaryInsertionSort;fill0To4000;3400;985906;29732
bubbleSort;fill0To4000;3400;24858926;34683399
bubbleSortIverson1;fill0To4000;3400;14686;20405
bubbleSortIverson2;fill0To4000;3400;29360;40802
countingSort;fill0To4000;3400;149600;29004
heapSort;fill0To4000;3400;990220;593731
insertionSort;fill0To4000;3400;23613;30594
mergeSort;fill0To4000;3400;1615360;442852
quickSort;fill0To4000;3400;156676;91953
selectionSort;fill0To4000;3400;23045503;17358696
shellSortCiuraSequence;fill0To4000;3400;159803;133770
shellSortShellSequence;fill0To4000;3400;235003;170072
binaryInsertionSort;almostSorted;3400;841593;23796
bubbleSort;almostSorted;3400;24811416;34683399
bubbleSortIverson1;almostSorted;3400;15250;20405
bubbleSortIverson2;almostSorted;3400;29590;40802
countingSort;almostSorted;3400;118620;27207
heapSort;almostSorted;3400;987113;596309
insertionSort;almostSorted;3400;26020;30594
mergeSort;almostSorted;3400;1621506;442852
quickSort;almostSorted;3400;128663;87104
selectionSort;almostSorted;3400;23124293;17358696
shellSortCiuraSequence;almostSorted;3400;160376;133770
shellSortShellSequence;almostSorted;3400;233690;170072
binaryInsertionSort;backwardSorted;3400;1353966;23796
bubbleSort;backwardSorted;3400;24777070;34683399
bubbleSortIverson1;backwardSorted;3400;15103;20405
bubbleSortIverson2;backwardSorted;3400;29640;40802
countingSort;backwardSorted;3400;104863;29307
heapSort;backwardSorted;3400;983326;596309
insertionSort;backwardSorted;3400;23626;30594
mergeSort;backwardSorted;3400;1619266;442852
quickSort;backwardSorted;3400;127736;87104
selectionSort;backwardSorted;3400;23087103;17358696
shellSortCiuraSequence;backwardSorted;3400;160263;133770
shellSortShellSequence;backwardSorted;3400;234446;170072
binaryInsertionSort;fill0To5;3500;5992753;4919508
bubbleSort;fill0To5;3500;26267683;36753499
bubbleSortIverson1;fill0To5;3500;15210;21005
bubbleSortIverson2;fill0To5;3500;30100;42002
countingSort;fill0To5;3500;82993;17519
heapSort;fill0To5;3500;770950;460781
insertionSort;fill0To5;3500;24176;31494
mergeSort;fill0To5;3500;1657036;456960
quickSort;fill0To5;3500;271256;109456
selectionSort;fill0To5;3500;24628796;18394246
shellSortCiuraSequence;fill0To5;3500;165890;138570
shellSortShellSequence;fill0To5;3500;240270;175082
binaryInsertionSort;fill0To4000;3500;1010316;30724
bubbleSort;fill0To4000;3500;26301553;36753499
bubbleSortIverson1;fill0To4000;3500;15316;21005
bubbleSortIverson2;fill0To4000;3500;30103;42002
countingSort;fill0To4000;3500;151723;29504
heapSort;fill0To4000;3500;1029316;612989
insertionSort;fill0To4000;3500;25223;31494
mergeSort;fill0To4000;3500;1675663;456960
quickSort;fill0To4000;3500;161693;94800
